"#","Title","Diagnostic Features",
"1","(Intellectual Developmental Disorder)","The essential fèatures of intellectual disability (intellectual developmental disorder) are deficits in general mental abilities (Criterion A) and impairment in everyday adaptive functioning, in comparison to an individual's age-, gender-, and socioculturally matched peers (Criterion B). Onset is during the developmental period (Criterion C). The diagnosis of intellectual disability is based on both clinical assessment and standardized testing of intellectual and adaptive functions.Criterion A refers to intellectual functions that involve reasoning, problem solving, planning, abstract thinking, judgment, learning from instruction and experience, and practical understanding. Critical components include verbal comprehension, working memory, perceptual reasoning, quantitative reasoning, abstract thought, and cognitive ef­ficacy. Intellectual functioning is typically measured with individually administered and psychometrically valid, comprehensive, culturally appropriate, psychometrically sound tests of intelligence. Individuals with intellectual disability have scores of approximately two standard deviations or more below the population mean, including a margin for mea­surement error (generally +5 points). On tests with a standard deviation of 15 and a mean of 100, this involves a score of 65-75 (70 ± 5). Clinical training and judgment are required to interpret test results and assess intellectual performance.Factors that may affect test scores include practice effects and the ""Flynn effect' (i.e., overly high scores due to out-of-date test norms). Invalid scores may result from the use of brief intelligence screening tests or group tests; highly discrepant individual subtest scores may make an overall IQ score invalid. Instruments must be normed for the individual's so­ciocultural background and native language. Co-occurring disorders that affect communi­cation, language, and/or motor or sensory function may affect test scores. Individual cognitive profiles based on neuropsychological testing are more useful for understanding intellectual abilities than a single IQ score. Such testing may identify areas of relative strengths and weaknesses, an assessment important for academic and vocational planning.IQ test scores are approximations of conceptual functioning but may be insufficient to assess reasoning in real-life situations and mastery of practical tasks. For example, a per­son with an IQ score above 70 may have such severe adaptive behavior problems in social judgment, social understanding, and other areas of adaptive functioning that the person's actual functioning is comparable to that of individuals with a lower IQ score. Thus, clinical judgment is needed in interpreting the results of IQ tests.Deficits in adaptive functioning (Criterion B) refer to how well a person meets community standards of personal independence and social responsibility, in comparison to others of sim­ilar age and sociocultural background. Adaptive functioning involves adaptive reasoning in three domains: conceptual, social, and practical. The conceptual (academic) domain involves competence in memory, language, reading, writing, math reasoning, acquisition of practical knowledge, problem solving, and judgment in novel situations, among others. The social do­main involves awareness of others' thoughts, feelings, and experiences; empathy; interper­sonal communication skills; friendship abilities; and social judgment, among others. The practical domain involves learning and self-management across life settings, including personal care, job responsibilities, money management, recreation, self-management of behavior, and school and work task organization, among others. Intellectual capacity, education, motivation, socialization, personality features, vocational opportunity, cultural experience, and coexisting general medical conditions or mental disorders influence adaptive functioning.Adaptive functioning is assessed using both clinical evaluation and individualized, culturally appropriate, psychometrically sound measures. Standardized measures are used with knowledgeable informants (e.g., parent or other family member; teacher; coun­selor; care provider) and the individual to the extent possible. Additional sources of infor­mation include educational, developmental, medical, and mental health evaluations. Scores from standardized measures and interview sources must be interpreted using clin­ical judgment. When standardized testing is difficult or impossible, because of a variety offactors (e.g., sensory impairment, severe problem behavior), the individual may be diag­nosed with unspecified intellectual disability. Adaptive functioning may be difficult to assess in a controlled setting (e.g., prisons, detention centers); if possible, corroborative in­formation reflecting functioning outside those settings should be obtained.Criterion B is met when at least one domain of adaptive functioning—conceptual, so­cial, or practical—is sufficiently impaired that ongoing support is needed in order for the person to perform adequately in one or more life settings at school, at work, at home, or in the community. To meet diagnostic criteria for intellectual disability, the deficits in adap­tive functioning must be directly related to the intellectual impairments described in Cri­terion A. Criterion C, onset during the developmental period, refers to recognition that intellectual and adaptive deficits are present during childhood or adolescence.",
"2","Language Disorder","The core diagnostic features of language disorder are difficulties in the acquisition and use of language due to deficits in the comprehension or production of vocabulary, sentence structure, and discourse. The language deficits are evident in spoken communication, written communication, or sign language. Language learning and use is dependent on both receptive and expressive skills. Expressive ability refers to the production of vocal, ges­tural, or verbal signals, while receptive ability refers to the process of receiving and com­prehending language messages. Language skills need to be assessed in both expressive and receptive modalities as these may differ in severity. For example, an individual's ex­pressive language may be severely impaired, while his receptive language is hardly im­paired at all.Language disorder usually affects vocabulary and grammar, and these effects then limit the capacity for discourse. The child's first words and phrases are likely to be delayed in onset; vocabulary size is smaller and less varied than expected; and sentences are shorter and less complex with grammatical errors, especially in past tense. Deficits in com­prehension of language are frequently underestimated, as children may be good at using context to infer meaning. There may be word-finding problems, impoverished verbal def­initions, or poor understanding of synonyms, multiple meanings, or word play appro­priate for age and culture. Problems with remembering new words and sentences are manifested by difficulties following instructions of increasing length, difficulties rehears­ing strings of verbal information (e.g., remembering a phone number or a shopping list), and difficulties remembering novel sound sequences, a skill that may be important for learning new words. Difficulties with discourse are shown by a reduced ability to provide adequate information about the key events and to narrate a coherent story.The language difficulty is manifest by abilities substantially and quantifiably below that expected for age and significantly interfering with academic achievement, occupa­tional performance, effective communication, or socialization (Criterion B). A diagnosis of language disorder is made based on the synthesis of the individual's history, direct clinical observation in different contexts (i.e., home, school, or work), and scores from standard­ized tests of language ability that can be used to guide estimates of severity.",
"3","Speech Sound Disorder","Speech sound production describes the clear articulation of the phonemes (i.e., individual sounds) that in combination make up spoken words. Speech sound production requires both the phonological knowledge of speech sounds and the ability to coordinate the movements of the articulators (i.e., the jaw, tongue, and lips,) with breathing and vocalizing for speech. Chil­dren with speech production difficulties may experience difficulty with phonological knowl­edge of speech sounds or the ability to coordinate movements for speech in varying degrees. Speech sound disorder is thus heterogeneous in its underlying mechanisms and includes pho­nological disorder and articulation disorder. A speech sound disorder is diagnosed when speech sound production is not what would be expected based on the child's age and devel­opmental stage and when the deficits are not the result of a physical, structural, neurological, or hearing impairment. Among typically developing children at age 4 years, overall speech should be intelligible, whereas at age 2 years, only 50% may be understandable.",
"4","Childhood-Onset Fluency Disorder (Stuttering)","The essential feature of childhood-onset fluency disorder (stuttering) is a disturbance in the normal fluency and time patterning of speech that is inappropriate for the individual's age. This disturbance is characterized by frequent repetitions or prolongations of sounds or syllables and by other types of speech dysfluencies, including broken words (e.g., pauses within a word), audible or silent blocl^g (i.e., filled or unfilled pauses in speech), circumlocutions (i.e., word substitutions to avoid problematic words), words produced with an excess of physical tension, and monosyllabic whole-word repetitions (e.g., 'T-I-I-I see him""). The disturbance in fluency interferes with academic or occupational achieve­ment or with social communication. The extent of the disturbance varies from situation to situation and often is more severe when there is special pressure to communicate (e.g., giv­ing a report at school, interviewing for a job). Dysfluency is often absent during oral read­ing, singing, or talking to inanimate objects or to pets.",
"5","Social (Pragmatic) Communication Disorder","Social (pragmatic) communication disorder is characterized by a primary difficulty with pragmatics, or the social use of language and communication, as manifested by deficits in understanding and following social rules of verbal and nonverbal communication in nat­uralistic contexts, changing language according to the needs of the listener or situation, and following rules for conversations and storytelling. The deficits in social communica­tion result in functional limitations in effective communication, social participation, devel­opment of social relationships, academic achievement, or occupational performance. The deficits are not better explained by low abilities in the domains of structural language or cognitive abihty.",
"6","Unspecified Communication Disorder","The essential features of autism spectrum disorder are persistent impairment in reciprocal social communication and social interaction (Criterion A), and restricted, repetitive pat­terns of behavior, interests, or activities (Criterion B). These symptoms are present from early childhood and limit or impair everyday functioning (Criteria C and D). The stage at which functional impairment becomes obvious will vary according to characteristics of the individual and his or her environment. Core diagnostic features are evident in the developmental period, but intervention, compensation, and current supports may mask difficulties in at least some contexts. Manifestations of the disorder also vary greatly de­pending on the severity of the autistic condition, developmental level, and chronological age; hence, the term spectrum. Autism spectrum disorder encompasses disorders previously re­ferred to as early infantile autism, childhood autism, Kanner's autism, high-functioning autism, atypical autism, pervasive developmental disorder not otherwise specified, child­hood disintegrative disorder, and Asperger's disorder.The impairments in communication and social interaction specified in Criterion A are pervasive and sustained. Diagnoses are most valid and reliable when based on multiple sources of information, including clinician's observations, caregiver history, and, when possible, self-report. Verbal and nonverbal deficits in social communication have varying manifestations, depending on the individual's age, intellectual level, and language ability, as well as other factors such as treatment history and current support. Many individuals have language deficits, ranging from complete lack of speech through language delays, poor comprehension of speech, echoed speech, or stilted and overly literal language. Even when formal language skills (e.g., vocabulary, grammar) are intact, the use of language for reciprocal social communication is impaired in autism spectrum disorder.Deficits in social-emotional reciprocity (i.e., the ability to engage with others and share thoughts and feelings) are clearly evident in young children with the disorder, who may show little or no initiation of social interaction and no sharing of emotions, along with re­duced or absent imitation of others' behavior. What language exists is often one-sided, lacking in social reciprocity, and used to request or label rather than to comment, share feelings, or converse. In adults without intellectual disabilities or language delays, deficits in social-emotional reciprocity may be most apparent in difficulties processing and re­sponding to complex social cues (e.g., when and how to join a conversation, what not to say). Adults who have developed compensation strategies for some social challenges still struggle in novel or unsupported situations and suffer from the effort and anxiety of con­sciously calculating what is socially intuitive for most individuals.Deficits in nonverbal communicative behaviors used for social interaction are mani­fested by absent, reduced, or atypical use of eye contact (relative to cultural norms), ges­tures, facial expressions, body orientation, or speech intonation. An early feature of autism spectrum disorder is impaired joint attention as manifested by a lack of pointing, showing, or bringing objects to share interest with others, or failure to follow someone's pointing or eye gaze. Individuals may learn a few functional gestures, but their repertoire is smaller than that of others, and they often fail to use expressive gestures spontaneously in com­munication. Among adults with fluent language, the difficulty in coordinating nonverbal communication with speech may give the impression of odd, wooden, or exaggerated ""body language"" during interactions. Impairment may be relatively subtle within indi­vidual modes (e.g., someone may have relatively good eye contact when speaking) but noticeable in poor integration of eye contact, gesture, body posture, prosody, and facial ex­pression for social communication.Deficits in developing, maintaining, and understanding relationships should be judged against norms for age, gender, and culture. There may be absent, reduced, or atyp­ical social interest, manifested by rejection of others, passivity, or inappropriate ap­proaches that seem aggressive or disruptive. These difficulties are particularly evident in young children, in whom there is often a lack of shared social play and imagination (e.g., age-appropriate flexible pretend play) and, later, insistence on playing by very fixed rules. Older individuals may struggle to understand what behavior is considered appropriate in one situation but not another (e.g., casual behavior during a job interview), or the different ways that language may be used to communicate (e.g., irony, white lies). There may be an apparent preference for solitary activities or for interacting with much younger or older people. Frequently, there is a desire to establish friendships without a complete or realistic idea of what friendship entails (e.g., one-sided friendships or friendships based solely on shared special interests). Relationships with siblings, co-workers, and caregivers are also important to consider (in terms of reciprocity).Autism spectrum disorder is also defined by restricted, repetitive patterns of behavior, interests, or activities (as specified in Criterion B), which show a range of manifestations according to age and ability, intervention, and current supports. Stereotyped or repetitive behaviors include simple motor stereotypies (e.g., hand flapping, finger flicking), repeti­tive use of objects (e.g., spinning coins, lining up toys), and repetitive speech (e.g., echola- lia, the delayed or immediate parroting of heard words; use of ""you"" when referring to self; stereotyped use of words, phrases, or prosodic patterns). Excessive adherence to rou­tines and restricted patterns of behavior may be manifest in resistance to change (e.g., dis­tress at apparently small changes, such as in packaging of a favorite food; insistence on adherence to rules; rigidity of thinking) or ritualized patterns of verbal or nonverbal be­havior (e.g., repetitive questioning, pacing a perimeter). Highly restricted, fixated interests in autism spectrum disorder tend to be abnormal in intensity or focus (e.g., a toddler strongly attached to a pan; a child preoccupied with vacuum cleaners; an adult spending hours writing out timetables). Some fascinations and routines may relate to apparent hy­per- or hyporeactivity to sensory input, manifested through extreme responses to specific sounds or textures, excessive smelling or touching of objects, fascination with lights or spinning objects, and sometimes apparent indifference to pain, heat, or cold. Extreme re­action to or rituals involving taste, smell, texture, or appearance of food or excessive food restrictions are common and may be a presenting feature of autism spectrum disorder.Many adults with autism spectrum disorder without intellectual or language disabili­ties learn to suppress repetitive behavior in public. Special interests may be a source of pleasure and motivation and provide avenues for education and employment later in life. Diagnostic criteria may be met when restricted, repetitive patterns of behavior, interests, or activities were clearly present during childhood or at some time in the past, even if symptoms are no longer present.Criterion D requires that the features must cause clinically significant impairment in so­cial, occupational, or other important areas of current functioning. Criterion E specifies that the social communication deficits, although sometimes accompanied by intellectual disabil­ity (intellectual developmental disorder), are not in line with the individual's developmental level; impairments exceed difficulties expected on the basis of developmental level.Standardized behavioral diagnostic instruments with good psychometric properties, including caregiver interviews, questionnaires and clinician observation measures, are available and can improve reliability of diagnosis over time and across clinicians.",
"7","Attention-Deficit/Hyperactivity Disorder","The essential feature of attention-deficit/hyperactivity disorder (ADHD) is a persistent pattern of inattention and/or hyperactivity-impulsivity that interferes with functioning or development. Inattention manifests behaviorally in ADHD as wandering off task, lacking persistence, having difficulty sustaining focus, and being disorganized and is not due to defiance or lack of comprehension. Hyperactivity refers to excessive motor activity (such as a child running about) when it is not appropriate, or excessive fidgeting, tapping, or talk­ativeness. In adults, hyperactivity may manifest as extreme restlessness or wearing others out with their activity. Impulsivity refers to hasty actions that occur in the moment without forethought and that have high potential for harm to the individual (e.g., darting into the street without looking). Impulsivity may reflect a desire for immediate rewards or an in­ability to delay gratification. Impulsive behaviors may manifest as social intrusiveness (e.g., interrupting others excessively) and/or as making important decisions without con­sideration of long-term consequences (e.g., taking a job without adequate information).ADHD begins in childhood. The requirement that several symptoms be present before age 12 years conveys the importance of a substantial clinical presentation during child­hood. At the same time, an earlier age at onset is not specified because of difficulties in es­tablishing precise childhood onset retrospectively. Adult recall of childhood symptoms tends to be unreliable, and it is beneficial to obtain ancillary information.Manifestations of the disorder must be present in more than one setting (e.g., home and school, work). Confirmation of substantial symptoms across settings typically cannot be done accurately without consulting informants who have seen the individual in those set­tings. Typically, symptoms vary depending on context within a given setting. Signs of the disorder may be minimal or absent when the individual is receiving frequent rewards for appropriate behavior, is under close supervision, is in a novel setting, is engaged in espe­cially interesting activities, has consistent external stimulation (e.g., via electronic screens), or is interacting in one-on-one situations (e.g., the clinician's office).",
"8","Hyperactivity Disorder","Specific learning disorder is a neurodevelopmental disorder with a biological origin that is the basis for abnormalities at a cognitive level that are associated with the behavioral signs of the disorder. The biological origin includes an interaction of genetic, epigenetic, and en­vironmental factors, which affect the brain's ability to perceive or process verbal or non­verbal information efficiently and accurately.One essential feature of specific learning disorder is persistent difficulties learning key­stone academic skills (Criterion A), with onset during the years of formal schooling (i.e., the de­velopmental period). Key academic skills include reading of single words accurately and fluently, reading comprehension, written expression and spelling, arithmetic calculation, and mathematical reasoning (solving mathematical problems). In contrast to talking or walking, which are acquired developmental milestones that emerge with brain maturation, academic skills (e.g., reading, spelling, writing, mathematics) have to be taught and learned explicitly. Specific learning disorder disrupts the normal pattern of learning academic skills; it is not sim­ply a consequence of lack of opportunity of learning or inadequate instruction. Difficulties mastering these key academic skills may also impede learning in other academic subjects (e.g., history, science, social studies), but those problems are attributable to difficulties learning the underlying academic skills. Difficulties learning to map letters with the sounds of one's lan­guage— t̂o read printed words (often called dyslexia)—is one of the most common manifesta­tions of specific learning disorder. The learning difficulties manifest as a range of observable, descriptive behaviors or symptoms (as listed in Criteria A1-A6). These clinical symptoms may be observed, probed by means of the clinical interview, or ascertained from school reports, rat­ing scales, or descriptions in previous educational or psychological assessments. The learning difficulties are persistent, not transitory. In children and adolescents, persistence is defined as restricted progress in learning (i.e., no evidence that the individual is catching up with class­mates) for at least 6 months despite the provision of extra help at home or school. For example, difficulties learning to read single words that do not fully or rapidly remit with the provision of instruction in phonological skills or word identification strategies may indicate a specificlearning disorder. Evidence of persistent learning difficulties may be derived from cumulative school reports, portfolios of the child's evaluated work, curriculum-based measures, or clinical interview. In adults, persistent difficulty refers to ongoing difficulties in literacy or numeracy skills that manifest during childhood or adolescence, as indicated by cumulative evidence from school reports, evaluated portfolios of work, or previous assessments.A second key feature is that the individual's performance of the affected academic skills is well below average for age (Criterion B). One robust clinical indicator of difficulties learning academic skills is low academic achievement for age or average achievement that is sustain­able only by extraordinarily high levels of effort or support. In children, the low academic skills cause significant interference in school performance (as indicated by school reports and teacher's grades or ratings). Another clinical indicator, particularly in adults, is avoidance of activities that require the academic skills. Also in adulthood, low academic skills interfere with occupational performance or everyday activities requiring those skills (as indicated by self-re­port or report by others). However, this criterion also requires psychometric evidence from an individually administered, psychometrically sound and culturally appropriate test of aca­demic achievement that is norm-referenced or criterion-referenced. Academic skills are dis­tributed along a continuum, so there is no natural cutpoint that can be used to differentiate individuals with and without specific learning disorder. Thus, any threshold used to specify what constitutes significantly low academic achievement (e.g., academic skills weU below age expectation) is to a large extent arbitrary. Low achievement scores on one or more standard­ized tests or subtests within an academic domain (i.e., at least 1.5 standard deviations [SD] be­low the population mean for age, which translates to a standard score of 78 or less, which is below the 7th percentile) are needed for the greatest diagnostic certainty. However, precise scores will vary according to the particular standardized tests that are used. On the basis of clinical judgment, a more lenient threshold may be used (e.g., 1.0-2.5 SD below the pop­ulation mean for age), when learning difficulties are supported by converging evidence from clinical assessment, academic history, school reports, or test scores. Moreover, since standardized tests are not available in all languages, the diagnosis may then be based in part on clinical judgment of scores on available test measures.A third core feature is that the learning difficulties are readily apparent in the early school years in most individuals (Criterion C). However, in others, the learning difficulties may not manifest fully until later school years, by which time learning demands have in­creased and exceed the individual's limited capacities.Another key diagnostic feature is that the learning difficulties are considered ""spe­cific,"" for four reasons. First, they are not attributable to intellectual disabilities (intellec­tual disability [intellectual developmental disorder]); global developmental delay; hearing or vision disorders, or neurological or motor disorders) (Criterion D). Specific learning disorder affects learning in individuals who otherwise demonstrate normal lev­els of intellectual functioning (generally estimated by an IQ score of greater than about 70 [±5 points allowing for measurement error]). The phrase ""unexpected academic under­achievement"" is often cited as the defining characteristic of specific learning disorder in that the specific learning disabilities are not part of a more general learning difficulty as manifested in intellectual disability or global developmental delay. Specific learning dis­order may also occur in individuals identified as intellectually ""gifted."" These individuals may be able to sustain apparentiy adequate academic functioning by using compensatory strategies, extraordinarily high effort, or support, until the learning demands or assess­ment procedures (e.g., timed tests) pose barriers to their demonstrating their learning or accomplishing required tasks. Second, the learning difficulty cannot be attributed to more general external factors, such as economic or environmental disadvantage, chronic absen­teeism, or lack of education as typically provided in the individual's community context. Third, the learning difficulty cannot be attributed to a neurological (e.g., pediatric stroke) or motor disorders or to vision or hearing disorders, which are often associated with prob­lems learning academic skills but are distinguishable by presence of neurological signs.Finally, the learning difficulty may be restricted to one academic skill or domain (e.g., read­ing single words, retrieving or calculating number facts).Comprehensive assessment is required. Specific learning disorder can only be diagnosed after formal education starts but can be diagnosed at any point afterward in children, adoles­cents, or adults, providing there is evidence of onset during the years of formal schooling (i.e., the developmental period). No single data source is sufficient for a diagnosis of specific learn­ing disorder. Rather, specific learning disorder is a clinical diagnosis based on a synthesis of the individual's medical, developmental, educational, and family history; the history of the learning difficulty, including its previous and current manifestation; the impact of the diffi­culty on academic, occupational, or social functioning; previous or current school reports; portfolios of work requiring academic skills; curriculum-based assessments; and previous or current scores from individual standardized tests of academic achievement. If an intellectual, sensory, neurological, or motor disorder is suspected, then the clinical assessment for specific learning disorder should also include methods appropriate for these disorders. Thus, compre­hensive assessment will involve professionals with expertise in specific learning disorder and psychological/cognitive assessment. Since specific learning disorder typically persists into adulthood, reassessment is rarely necessary, unless indicated by marked changes in the learn­ing difficulties (amelioration or worsening) or requested for specific purposes.",
"9","Hyperactivity Disorder","",
"10","Stereotypic Movement Disorder","The essential feature of stereotypic movement disorder is repetitive, seemingly driven, and apparently purposeless motor behavior (Criterion A). These behaviors are often rhythmical movements of the head, hands, or body without obvious adaptive function. The movements may or may not respond to efforts to stop them. Among typically devel­oping children, the repetitive movements may be stopped when attention is directed to them or when the child is distracted from performing them. Among children with neuro­developmental disorders, the behaviors are typically less responsive to such efforts. In other cases, the individual demonstrates self-restraining behaviors (e.g., sitting on hands, wrapping arms in clothing, finding a protective device).The repertoire of behaviors is variable; each individual presents with his or her own in­dividually patterned, ""signature"" behavior. Examples of non-self-injurious stereotypic movements include, but are not limited to, body rocking, bilateral flapping or rotating hand movements, flicking or fluttering fingers in front of the face, arm waving or flapping, and head nodding. Stereotyped self-injurious behaviors include, but are not limited to, re­petitive head banging, face slapping, eye poking, and biting of hands, lips, or other body parts. Eye poking is particularly concerning; it occurs more frequently among children with visual impairment. Multiple movements may be combined (e.g., cocking the head, rocking the torso, waving a small string repetitively in front of the face).Stereotypic movements may occur many times during a day, lasting a few seconds to several minutes or longer. Frequency can vary from many occurrences in a single day to several weeks elapsing between episodes. The behaviors vary in context, occurring when the individual is engrossed in other activities, when excited, stressed, fatigued, or bored. Criterion A requires that the movements be ""apparently"" purposeless. However, some functions may be served by the movements. For example, stereotypic movements might reduce anxiety in response to external stressors.Criterion B states that the stereotypic movements interfere with social, academic, or other activities and, in some children, may result in self-injury (or would if protective mea­sures were not used). If self-injury is present, it should be coded using the specifier. Onsetof stereotypic movements is in the early developmental period (Criterion C). Criterion D states that the repetitive, stereotyped behavior in stereotypic movement disorder is not at­tributable to the^physiological effects of a substance or neurological condition and is not better explained by another neurodevelopmental or mental disorder. The presence of stereotypic movements may indicate an undetected neurodevelopmental problem, espe­cially in children ages 1-3 years.",
